Sample Index,dry_DC,wet_DC,SNR
0,4.2683977881097235e-06,-8.77286993272719e-07,4.747030258178711
1,4.36698746852926e-06,-5.4391225745575866e-08,0.15945696830749512
2,2.0941915863659233e-05,-1.4264300034483313e-06,-1.561775803565979
3,1.5253244782797992e-05,-4.400620809974498e-07,-0.3262278437614441
4,2.6012501166405855e-06,2.4478136850802912e-08,0.42117321491241455
5,1.5354848073911853e-05,2.8589764156095043e-07,-3.0578527450561523
6,4.84056454297388e-06,3.3073733902710956e-06,-0.2850445806980133
7,-1.7112970454036258e-06,-1.4404207604457042e-07,-2.2750070095062256
8,1.6489902918692678e-05,3.40250124963859e-07,2.6032209396362305
9,2.0369896446936764e-05,1.630375834338338e-07,5.4548540115356445
10,2.4079688955680467e-05,-1.3573567514413298e-07,1.1563278436660767
11,-1.138983770943014e-05,-1.0240663641525316e-06,0.7816301584243774
12,5.038558811065741e-05,-1.272172198696353e-06,2.305293321609497
13,1.6339590729330666e-05,9.349316201223701e-07,3.9740939140319824
14,3.962329628848238e-06,1.0958328857668675e-06,-0.525373101234436
15,3.645655669970438e-05,1.4867832760501187e-06,0.03312748298048973
16,3.138164174742997e-05,3.447294147918001e-07,1.1657812595367432
17,3.9557806303491816e-05,-2.3451646313787933e-07,2.8445627689361572
18,-5.095303095004056e-06,-2.8286177666814183e-07,1.4513860940933228
19,1.5655521565349773e-05,-1.0271917005866271e-07,1.4843595027923584
20,4.1432272155361716e-06,-5.3905596359982155e-06,-4.977119445800781
21,1.7560549167683348e-05,-3.9951007124727766e-07,1.403066635131836
22,1.922336196003016e-05,-9.567439519742038e-06,4.267924785614014
23,-1.1447528777353e-05,-1.1765062879476318e-07,2.5317816734313965
24,1.8169044778915122e-05,-4.249368998898717e-07,1.921749234199524
25,1.7015710909618065e-05,9.083847203328332e-07,0.3384455442428589
26,3.3942276786547154e-05,-1.9069165091423201e-07,1.0892894268035889
27,1.8547872969065793e-05,-2.0825564206461422e-07,4.487573623657227
28,1.5181050230239634e-06,1.7022887277562404e-07,-1.176599144935608
29,-9.292701861340902e-07,8.025487545637588e-07,2.7959039211273193
30,-8.803282071312424e-06,-6.594230512746435e-07,1.3690950870513916
31,1.0437624041514937e-05,-4.797265091838199e-07,4.176469326019287
32,3.760033450816991e-06,-1.8333345508381171e-07,1.6068286895751953
33,5.581397272180766e-05,9.077321919903625e-06,-4.8287553787231445
34,7.18694582246826e-06,-1.2687022490354138e-06,2.3225250244140625
35,1.1777512554544955e-05,-4.571681131437799e-07,-1.686806559562683
36,9.357406270282809e-06,-2.1851211329249054e-07,2.323840856552124
37,1.5395922673633322e-05,-6.211057552718557e-07,1.0908688306808472
38,-2.2137651285447646e-06,5.851303512827144e-07,0.4961228370666504
